Date,Result
09/11/2025,Strasbourg 2 - 0 Lille
09/11/2025,Lorient 1 - 1 Toulouse
08/11/2025,Monaco 1 - 4 Lens
08/11/2025,Le Havre 1 - 1 Nantes
08/11/2025,Olympique Marseille 3 - 0 Brest
07/11/2025,Paris FC 0 - 1 Rennes
02/11/2025,Brest 0 - 0 Lyon
02/11/2025,Nantes 0 - 2 Metz
02/11/2025,Toulouse 0 - 0 Le Havre
02/11/2025,Lille 1 - 0 Angers
02/11/2025,Lens 3 - 0 Lorient
02/11/2025,Rennes 4 - 1 Strasbourg
01/11/2025,Auxerre 0 - 1 Olympique Marseille
01/11/2025,Monaco 0 - 1 Paris FC
01/11/2025,PSG 1 - 0 Nice
29/10/2025,Strasbourg 3 - 0 Auxerre
29/10/2025,Paris FC 3 - 3 Lyon
29/10/2025,Nantes 3 - 5 Monaco
29/10/2025,Toulouse 2 - 2 Rennes
29/10/2025,Olympique Marseille 2 - 2 Angers
29/10/2025,Le Havre 1 - 0 Brest
29/10/2025,Metz 2 - 0 Lens
29/10/2025,Lorient 1 - 1 PSG
29/10/2025,Nice 2 - 0 Lille
26/10/2025,Lyon 2 - 1 Strasbourg
26/10/2025,Angers 2 - 0 Lorient
26/10/2025,Rennes 1 - 2 Nice
26/10/2025,Auxerre 0 - 1 Le Havre
26/10/2025,Lille 6 - 1 Metz
25/10/2025,Lens 2 - 1 Olympique Marseille
25/10/2025,Monaco 1 - 0 Toulouse
25/10/2025,Brest 0 - 3 PSG
24/10/2025,Paris FC 1 - 2 Nantes
19/10/2025,Nantes 0 - 2 Lille
19/10/2025,Lorient 3 - 3 Brest
19/10/2025,Rennes 2 - 2 Auxerre
19/10/2025,Toulouse 4 - 0 Metz
19/10/2025,Lens 2 - 1 Paris FC
18/10/2025,Olympique Marseille 6 - 2 Le Havre
18/10/2025,Angers 1 - 1 Monaco
18/10/2025,Nice 3 - 2 Lyon
17/10/2025,PSG 3 - 3 Strasbourg
05/10/2025,Lille 1 - 1 PSG
05/10/2025,Strasbourg 5 - 0 Angers
05/10/2025,Le Havre 2 - 2 Rennes
05/10/2025,Monaco 2 - 2 Nice
05/10/2025,Lyon 1 - 2 Toulouse
04/10/2025,Auxerre 1 - 2 Lens
04/10/2025,Brest 0 - 0 Nantes
04/10/2025,Metz 0 - 3 Olympique Marseille
03/10/2025,Paris FC 2 - 0 Lorient
28/09/2025,Rennes 0 - 0 Lens
28/09/2025,Lille 0 - 1 Lyon
28/09/2025,Angers 0 - 2 Brest
28/09/2025,Metz 0 - 0 Le Havre
28/09/2025,Nice 1 - 1 Paris FC
27/09/2025,PSG 2 - 0 Auxerre
27/09/2025,Toulouse 2 - 2 Nantes
27/09/2025,Lorient 3 - 1 Monaco
26/09/2025,Strasbourg 1 - 2 Olympique Marseille
22/09/2025,Olympique Marseille 1 - 0 PSG
21/09/2025,Le Havre 1 - 1 Lorient
21/09/2025,Auxerre 1 - 0 Toulouse
21/09/2025,Monaco 5 - 2 Metz
21/09/2025,Paris FC 2 - 3 Strasbourg
20/09/2025,Lens 3 - 0 Lille
20/09/2025,Brest 4 - 1 Nice
20/09/2025,Nantes 2 - 2 Rennes
19/09/2025,Lyon 1 - 0 Angers
14/09/2025,Rennes 3 - 1 Lyon
14/09/2025,Brest 1 - 2 Paris FC
14/09/2025,PSG 2 - 0 Lens
14/09/2025,Strasbourg 1 - 0 Le Havre
14/09/2025,Metz 1 - 1 Angers
14/09/2025,Lille 2 - 1 Toulouse
13/09/2025,Auxerre 1 - 2 Monaco
13/09/2025,Nice 1 - 0 Nantes
12/09/2025,Olympique Marseille 4 - 0 Lorient
31/08/2025,Lyon 1 - 0 Olympique Marseille
31/08/2025,Monaco 3 - 2 Strasbourg
31/08/2025,Le Havre 3 - 1 Nice
31/08/2025,Paris FC 3 - 2 Metz
31/08/2025,Angers 1 - 1 Rennes
30/08/2025,Toulouse 3 - 6 PSG
30/08/2025,Nantes 1 - 0 Auxerre
30/08/2025,Lorient 1 - 7 Lille
29/08/2025,Lens 3 - 1 Brest
24/08/2025,Lille 1 - 0 Monaco
24/08/2025,Strasbourg 1 - 0 Nantes
24/08/2025,Toulouse 2 - 0 Brest
24/08/2025,Le Havre 1 - 2 Lens
24/08/2025,Lorient 4 - 0 Rennes
23/08/2025,Lyon 3 - 0 Metz
23/08/2025,Nice 3 - 1 Auxerre
23/08/2025,Olympique Marseille 5 - 2 Paris FC
22/08/2025,PSG 1 - 0 Angers
17/08/2025,Nantes 0 - 1 PSG
17/08/2025,Metz 0 - 1 Strasbourg
17/08/2025,Auxerre 1 - 0 Lorient
17/08/2025,Angers 1 - 0 Paris FC
17/08/2025,Brest 3 - 3 Lille
16/08/2025,Nice 0 - 1 Toulouse
16/08/2025,Monaco 3 - 1 Le Havre
16/08/2025,Lens 0 - 1 Lyon
15/08/2025,Rennes 1 - 0 Olympique Marseille
