Date,Result
21/12/2025,Real Betis 4 - 0 Getafe
21/12/2025,Elche 4 - 0 Rayo Vallecano
21/12/2025,Villarreal 0 - 2 Barcelona
21/12/2025,Girona 0 - 3 Atlético Madrid
20/12/2025,Real Madrid 2 - 0 Sevilla
20/12/2025,Osasuna 3 - 0 Deportivo Alavés
20/12/2025,Levante 1 - 1 Real Sociedad
20/12/2025,Real Oviedo 0 - 0 Celta Vigo
19/12/2025,Valencia 1 - 1 Real Mallorca
15/12/2025,Rayo Vallecano 0 - 0 Real Betis
14/12/2025,Deportivo Alavés 1 - 2 Real Madrid
14/12/2025,Celta Vigo 2 - 0 Athletic Bilbao
14/12/2025,Sevilla 4 - 0 Real Oviedo
13/12/2025,Getafe 0 - 1 Espanyol
13/12/2025,Barcelona 2 - 0 Osasuna
13/12/2025,Real Mallorca 3 - 1 Elche
13/12/2025,Atlético Madrid 2 - 1 Valencia
12/12/2025,Real Sociedad 1 - 2 Girona
08/12/2025,Osasuna 2 - 0 Levante
07/12/2025,Real Madrid 0 - 2 Celta Vigo
07/12/2025,Espanyol 1 - 0 Rayo Vallecano
07/12/2025,Valencia 1 - 1 Sevilla
07/12/2025,Elche 3 - 0 Girona
06/12/2025,Athletic Bilbao 1 - 0 Atlético Madrid
06/12/2025,Real Betis 3 - 5 Barcelona
06/12/2025,Deportivo Alavés 1 - 0 Real Sociedad
06/12/2025,Villarreal 2 - 0 Getafe
05/12/2025,Real Oviedo 0 - 0 Real Mallorca
03/12/2025,Athletic Bilbao 0 - 3 Real Madrid
02/12/2025,Barcelona 3 - 1 Atlético Madrid
01/12/2025,Rayo Vallecano 1 - 1 Valencia
30/11/2025,Girona 1 - 1 Real Madrid
30/11/2025,Celta Vigo 0 - 1 Espanyol
30/11/2025,Sevilla 0 - 2 Real Betis
30/11/2025,Real Sociedad 2 - 3 Villarreal
29/11/2025,Atlético Madrid 2 - 0 Real Oviedo
29/11/2025,Levante 0 - 2 Athletic Bilbao
29/11/2025,Barcelona 3 - 1 Deportivo Alavés
29/11/2025,Real Mallorca 2 - 2 Osasuna
28/11/2025,Getafe 1 - 0 Elche
24/11/2025,Espanyol 2 - 1 Sevilla
23/11/2025,Elche 2 - 2 Real Madrid
23/11/2025,Getafe 0 - 1 Atlético Madrid
23/11/2025,Real Betis 1 - 1 Girona
23/11/2025,Real Oviedo 0 - 0 Rayo Vallecano
22/11/2025,Villarreal 2 - 1 Real Mallorca
22/11/2025,Osasuna 1 - 3 Real Sociedad
22/11/2025,Barcelona 4 - 0 Athletic Bilbao
22/11/2025,Deportivo Alavés 0 - 1 Celta Vigo
21/11/2025,Valencia 1 - 0 Levante
09/11/2025,Celta Vigo 2 - 4 Barcelona
09/11/2025,Valencia 1 - 1 Real Betis
09/11/2025,Real Mallorca 1 - 0 Getafe
09/11/2025,Rayo Vallecano 0 - 0 Real Madrid
09/11/2025,Athletic Bilbao 1 - 0 Real Oviedo
08/11/2025,Espanyol 0 - 2 Villarreal
08/11/2025,Atlético Madrid 3 - 1 Levante
08/11/2025,Sevilla 1 - 0 Osasuna
08/11/2025,Girona 1 - 0 Deportivo Alavés
07/11/2025,Elche 1 - 1 Real Sociedad
03/11/2025,Real Oviedo 0 - 0 Osasuna
02/11/2025,Real Betis 3 - 0 Real Mallorca
02/11/2025,Barcelona 3 - 1 Elche
02/11/2025,Deportivo Alavés 2 - 1 Espanyol
02/11/2025,Levante 1 - 2 Celta Vigo
01/11/2025,Real Madrid 4 - 0 Valencia
01/11/2025,Real Sociedad 3 - 2 Athletic Bilbao
01/11/2025,Atlético Madrid 3 - 0 Sevilla
01/11/2025,Villarreal 4 - 0 Rayo Vallecano
31/10/2025,Getafe 2 - 1 Girona
26/10/2025,Rayo Vallecano 1 - 0 Deportivo Alavés
26/10/2025,Osasuna 2 - 3 Celta Vigo
26/10/2025,Real Madrid 2 - 1 Barcelona
26/10/2025,Real Betis 0 - 2 Atlético Madrid
26/10/2025,Real Mallorca 1 - 1 Levante
25/10/2025,Valencia 0 - 2 Villarreal
25/10/2025,Athletic Bilbao 0 - 1 Getafe
25/10/2025,Espanyol 1 - 0 Elche
25/10/2025,Girona 3 - 3 Real Oviedo
24/10/2025,Real Sociedad 2 - 1 Sevilla
20/10/2025,Deportivo Alavés 0 - 0 Valencia
19/10/2025,Getafe 0 - 1 Real Madrid
19/10/2025,Levante 0 - 3 Rayo Vallecano
19/10/2025,Celta Vigo 1 - 1 Real Sociedad
19/10/2025,Elche 0 - 0 Athletic Bilbao
18/10/2025,Atlético Madrid 1 - 0 Osasuna
18/10/2025,Villarreal 2 - 2 Real Betis
18/10/2025,Barcelona 2 - 1 Girona
18/10/2025,Sevilla 1 - 3 Real Mallorca
17/10/2025,Real Oviedo 0 - 2 Espanyol
05/10/2025,Celta Vigo 1 - 1 Atlético Madrid
05/10/2025,Espanyol 1 - 2 Real Betis
05/10/2025,Real Sociedad 0 - 1 Rayo Vallecano
05/10/2025,Sevilla 4 - 1 Barcelona
05/10/2025,Deportivo Alavés 3 - 1 Elche
04/10/2025,Real Madrid 3 - 1 Villarreal
04/10/2025,Athletic Bilbao 2 - 1 Real Mallorca
04/10/2025,Girona 2 - 1 Valencia
04/10/2025,Real Oviedo 0 - 2 Levante
03/10/2025,Osasuna 2 - 1 Getafe
30/09/2025,Valencia 1 - 2 Real Oviedo
28/09/2025,Real Betis 2 - 0 Osasuna
28/09/2025,Barcelona 2 - 1 Real Sociedad
28/09/2025,Elche 2 - 1 Celta Vigo
28/09/2025,Rayo Vallecano 0 - 1 Sevilla
27/09/2025,Villarreal 1 - 0 Athletic Bilbao
27/09/2025,Real Mallorca 1 - 0 Deportivo Alavés
27/09/2025,Atlético Madrid 5 - 2 Real Madrid
27/09/2025,Getafe 1 - 1 Levante
26/09/2025,Girona 0 - 0 Espanyol
25/09/2025,Real Oviedo 1 - 3 Barcelona
25/09/2025,Osasuna 1 - 1 Elche
24/09/2025,Real Sociedad 1 - 0 Real Mallorca
24/09/2025,Atlético Madrid 3 - 2 Rayo Vallecano
24/09/2025,Getafe 1 - 1 Deportivo Alavés
23/09/2025,Sevilla 1 - 2 Villarreal
23/09/2025,Levante 1 - 4 Real Madrid
23/09/2025,Espanyol 2 - 2 Valencia
23/09/2025,Athletic Bilbao 1 - 1 Girona
21/09/2025,Barcelona 3 - 0 Getafe
21/09/2025,Elche 1 - 0 Real Oviedo
21/09/2025,Real Mallorca 1 - 1 Atlético Madrid
21/09/2025,Rayo Vallecano 1 - 1 Celta Vigo
20/09/2025,Valencia 2 - 0 Athletic Bilbao
20/09/2025,Deportivo Alavés 1 - 2 Sevilla
20/09/2025,Villarreal 2 - 1 Osasuna
20/09/2025,Real Madrid 2 - 0 Espanyol
20/09/2025,Girona 0 - 4 Levante
19/09/2025,Real Betis 3 - 1 Real Sociedad
15/09/2025,Espanyol 3 - 2 Real Mallorca
14/09/2025,Barcelona 6 - 0 Valencia
14/09/2025,Osasuna 2 - 0 Rayo Vallecano
14/09/2025,Levante 2 - 2 Real Betis
14/09/2025,Celta Vigo 1 - 1 Girona
13/09/2025,Atlético Madrid 2 - 0 Villarreal
13/09/2025,Athletic Bilbao 0 - 1 Deportivo Alavés
13/09/2025,Real Sociedad 1 - 2 Real Madrid
13/09/2025,Getafe 2 - 0 Real Oviedo
12/09/2025,Sevilla 2 - 2 Elche
31/08/2025,Rayo Vallecano 1 - 1 Barcelona
31/08/2025,Espanyol 1 - 0 Osasuna
31/08/2025,Real Betis 1 - 2 Athletic Bilbao
31/08/2025,Celta Vigo 1 - 1 Villarreal
30/08/2025,Real Madrid 2 - 1 Real Mallorca
30/08/2025,Girona 0 - 2 Sevilla
30/08/2025,Real Oviedo 1 - 0 Real Sociedad
30/08/2025,Deportivo Alavés 1 - 1 Atlético Madrid
29/08/2025,Valencia 3 - 0 Getafe
29/08/2025,Elche 2 - 0 Levante
27/08/2025,Celta Vigo 1 - 1 Real Betis
25/08/2025,Sevilla 1 - 2 Getafe
25/08/2025,Athletic Bilbao 1 - 0 Rayo Vallecano
24/08/2025,Real Oviedo 0 - 3 Real Madrid
24/08/2025,Villarreal 5 - 0 Girona
24/08/2025,Real Sociedad 2 - 2 Espanyol
24/08/2025,Osasuna 1 - 0 Valencia
23/08/2025,Levante 2 - 3 Barcelona
23/08/2025,Atlético Madrid 1 - 1 Elche
23/08/2025,Real Mallorca 1 - 1 Celta Vigo
22/08/2025,Real Betis 1 - 0 Deportivo Alavés
19/08/2025,Real Madrid 1 - 0 Osasuna
18/08/2025,Elche 1 - 1 Real Betis
17/08/2025,Espanyol 2 - 1 Atlético Madrid
17/08/2025,Athletic Bilbao 3 - 2 Sevilla
17/08/2025,Celta Vigo 0 - 2 Getafe
16/08/2025,Valencia 1 - 1 Real Sociedad
16/08/2025,Deportivo Alavés 2 - 1 Levante
16/08/2025,Real Mallorca 0 - 3 Barcelona
15/08/2025,Villarreal 2 - 0 Real Oviedo
15/08/2025,Girona 1 - 3 Rayo Vallecano
