Date,Result
15/12/2025,Nacional Madeira 3 - 1 CD Tondela
14/12/2025,FC Arouca 1 - 0 FC Alverca
14/12/2025,Moreirense FC 0 - 4 SL Benfica
14/12/2025,FC Famalicão 4 - 0 GD Estoril
13/12/2025,Sporting CP 6 - 0 AVS
13/12/2025,Rio Ave 0 - 1 Vitória
13/12/2025,Casa Pia AC 1 - 1 Gil Vicente
08/12/2025,Vitória 0 - 0 Gil Vicente
07/12/2025,CD Tondela 0 - 2 Porto
07/12/2025,FC Alverca 1 - 0 Nacional Madeira
07/12/2025,Estrela Amadora 3 - 1 FC Arouca
07/12/2025,GD Estoril 3 - 3 Moreirense FC
06/12/2025,FC Famalicão 1 - 2 Sporting Braga
06/12/2025,AVS 1 - 2 Rio Ave
06/12/2025,Santa Clara 1 - 0 Casa Pia AC
05/12/2025,SL Benfica 1 - 1 Sporting CP
01/12/2025,FC Arouca 0 - 4 Sporting Braga
30/11/2025,Porto 1 - 0 GD Estoril
30/11/2025,Sporting CP 4 - 0 Estrela Amadora
30/11/2025,Rio Ave 1 - 1 Santa Clara
29/11/2025,Gil Vicente 0 - 1 CD Tondela
29/11/2025,Nacional Madeira 1 - 2 SL Benfica
29/11/2025,Casa Pia AC 0 - 2 FC Alverca
29/11/2025,Moreirense FC 2 - 2 FC Famalicão
28/11/2025,Vitória 4 - 0 AVS
09/11/2025,Sporting Braga 2 - 1 Moreirense FC
09/11/2025,SL Benfica 2 - 2 Casa Pia AC
09/11/2025,FC Famalicão 0 - 1 Porto
09/11/2025,Estrela Amadora 1 - 1 Nacional Madeira
09/11/2025,AVS 1 - 1 Gil Vicente
08/11/2025,Santa Clara 1 - 2 Sporting CP
08/11/2025,CD Tondela 0 - 1 Vitória
08/11/2025,FC Alverca 1 - 1 Rio Ave
07/11/2025,GD Estoril 4 - 3 FC Arouca
03/11/2025,Gil Vicente 1 - 0 Santa Clara
02/11/2025,Porto 2 - 1 Sporting Braga
02/11/2025,FC Arouca 0 - 2 Moreirense FC
02/11/2025,AVS 2 - 2 CD Tondela
01/11/2025,Vitória 0 - 3 SL Benfica
01/11/2025,Rio Ave 0 - 4 GD Estoril
01/11/2025,Casa Pia AC 3 - 5 Estrela Amadora
01/11/2025,Nacional Madeira 0 - 1 FC Famalicão
31/10/2025,Sporting CP 2 - 0 FC Alverca
27/10/2025,Moreirense FC 1 - 2 Porto
26/10/2025,Sporting Braga 4 - 0 Casa Pia AC
26/10/2025,CD Tondela 0 - 3 Sporting CP
26/10/2025,GD Estoril 1 - 1 Nacional Madeira
26/10/2025,FC Famalicão 2 - 0 Vitória
25/10/2025,Estrela Amadora 1 - 2 Rio Ave
25/10/2025,SL Benfica 5 - 0 FC Arouca
25/10/2025,Santa Clara 2 - 0 AVS
24/10/2025,FC Alverca 0 - 4 Gil Vicente
05/10/2025,Porto 0 - 0 SL Benfica
05/10/2025,Sporting CP 1 - 1 Sporting Braga
05/10/2025,Rio Ave 3 - 0 CD Tondela
05/10/2025,FC Arouca 1 - 1 FC Famalicão
04/10/2025,Vitória 2 - 1 Santa Clara
04/10/2025,AVS 1 - 3 FC Alverca
04/10/2025,Gil Vicente 2 - 0 Estrela Amadora
04/10/2025,Nacional Madeira 3 - 2 Moreirense FC
03/10/2025,Casa Pia AC 2 - 2 GD Estoril
29/09/2025,FC Arouca 0 - 4 Porto
28/09/2025,FC Famalicão 0 - 0 Rio Ave
28/09/2025,Sporting Braga 0 - 1 Nacional Madeira
28/09/2025,FC Alverca 2 - 0 Vitória
27/09/2025,GD Estoril 0 - 1 Sporting CP
27/09/2025,Estrela Amadora 3 - 0 AVS
27/09/2025,Santa Clara 1 - 2 CD Tondela
27/09/2025,Moreirense FC 2 - 1 Casa Pia AC
26/09/2025,SL Benfica 2 - 1 Gil Vicente
23/09/2025,SL Benfica 1 - 1 Rio Ave
22/09/2025,Sporting CP 3 - 0 Moreirense FC
21/09/2025,Casa Pia AC 1 - 1 FC Famalicão
21/09/2025,Gil Vicente 2 - 0 GD Estoril
21/09/2025,CD Tondela 0 - 0 Estrela Amadora
20/09/2025,Vitória 1 - 1 Sporting Braga
20/09/2025,AVS 0 - 3 SL Benfica
20/09/2025,Nacional Madeira 1 - 2 FC Arouca
20/09/2025,Santa Clara 2 - 1 FC Alverca
19/09/2025,Rio Ave 0 - 3 Porto
14/09/2025,Sporting Braga 0 - 1 Gil Vicente
14/09/2025,FC Arouca 0 - 2 Casa Pia AC
14/09/2025,Estrela Amadora 0 - 2 Vitória
13/09/2025,FC Famalicão 1 - 2 Sporting CP
13/09/2025,Porto 1 - 0 Nacional Madeira
13/09/2025,GD Estoril 3 - 1 AVS
13/09/2025,Moreirense FC 3 - 1 Rio Ave
12/09/2025,SL Benfica 1 - 1 Santa Clara
12/09/2025,FC Alverca 1 - 0 CD Tondela
06/09/2025,GD Estoril 0 - 1 Santa Clara
31/08/2025,Santa Clara 0 - 0 Estrela Amadora
31/08/2025,Rio Ave 2 - 2 Sporting Braga
31/08/2025,FC Alverca 1 - 2 SL Benfica
31/08/2025,CD Tondela 2 - 2 GD Estoril
30/08/2025,Sporting CP 1 - 2 Porto
30/08/2025,AVS 0 - 1 FC Famalicão
30/08/2025,Vitória 1 - 1 FC Arouca
30/08/2025,Casa Pia AC 0 - 2 Nacional Madeira
29/08/2025,Gil Vicente 2 - 0 Moreirense FC
25/08/2025,Estrela Amadora 2 - 2 FC Alverca
24/08/2025,Sporting Braga 2 - 2 AVS
24/08/2025,Porto 4 - 0 Casa Pia AC
24/08/2025,FC Famalicão 0 - 0 Gil Vicente
23/08/2025,FC Arouca 3 - 3 Rio Ave
23/08/2025,SL Benfica 3 - 0 CD Tondela
23/08/2025,Nacional Madeira 1 - 4 Sporting CP
23/08/2025,Moreirense FC 2 - 0 Vitória
18/08/2025,Gil Vicente 0 - 2 Porto
17/08/2025,Sporting CP 6 - 0 FC Arouca
17/08/2025,FC Alverca 0 - 3 Sporting Braga
17/08/2025,Santa Clara 0 - 1 Moreirense FC
17/08/2025,Rio Ave 1 - 1 Nacional Madeira
16/08/2025,Estrela Amadora 0 - 1 SL Benfica
16/08/2025,Vitória 3 - 2 GD Estoril
16/08/2025,CD Tondela 0 - 1 FC Famalicão
15/08/2025,AVS 0 - 2 Casa Pia AC
11/08/2025,Porto 3 - 0 Vitória
11/08/2025,GD Estoril 1 - 1 Estrela Amadora
10/08/2025,Sporting Braga 3 - 0 CD Tondela
10/08/2025,Moreirense FC 2 - 1 FC Alverca
10/08/2025,FC Famalicão 3 - 0 Santa Clara
09/08/2025,FC Arouca 3 - 1 AVS
09/08/2025,Nacional Madeira 0 - 2 Gil Vicente
08/08/2025,Casa Pia AC 0 - 2 Sporting CP
