Date,Result
28/12/2025,Bologna 1 - 1 Sassuolo
28/12/2025,Cremonese 0 - 2 Napoli
28/12/2025,Milan 3 - 0 Verona
27/12/2025,AC Pisa 0 - 2 Juventus
27/12/2025,Udinese 1 - 1 Lazio
27/12/2025,Torino 1 - 2 Cagliari
27/12/2025,Lecce 0 - 3 Calcio Como
27/12/2025,Parma 1 - 0 Fiorentina
21/12/2025,Genoa 0 - 1 Atalanta
21/12/2025,Fiorentina 5 - 1 Udinese
21/12/2025,Sassuolo 0 - 1 Torino
21/12/2025,Cagliari 2 - 2 AC Pisa
20/12/2025,Juventus 2 - 1 Roma
20/12/2025,Lazio 0 - 0 Cremonese
15/12/2025,Roma 1 - 0 Calcio Como
14/12/2025,Bologna 0 - 1 Juventus
14/12/2025,Genoa 1 - 2 Inter
14/12/2025,Fiorentina 1 - 2 Verona
14/12/2025,Udinese 1 - 0 Napoli
14/12/2025,Milan 2 - 2 Sassuolo
13/12/2025,Atalanta 2 - 1 Cagliari
13/12/2025,Parma 0 - 1 Lazio
13/12/2025,Torino 1 - 0 Cremonese
12/12/2025,Lecce 1 - 0 AC Pisa
08/12/2025,Torino 2 - 3 Milan
08/12/2025,Udinese 1 - 2 Genoa
08/12/2025,AC Pisa 0 - 1 Parma
07/12/2025,Napoli 2 - 1 Juventus
07/12/2025,Lazio 1 - 1 Bologna
07/12/2025,Cagliari 1 - 0 Roma
07/12/2025,Cremonese 2 - 0 Lecce
06/12/2025,Verona 3 - 1 Atalanta
06/12/2025,Inter 4 - 0 Calcio Como
06/12/2025,Sassuolo 3 - 1 Fiorentina
01/12/2025,Bologna 1 - 3 Cremonese
30/11/2025,Roma 0 - 1 Napoli
30/11/2025,Atalanta 2 - 0 Fiorentina
30/11/2025,AC Pisa 0 - 2 Inter
30/11/2025,Lecce 2 - 1 Torino
29/11/2025,Milan 1 - 0 Lazio
29/11/2025,Juventus 2 - 1 Cagliari
29/11/2025,Genoa 2 - 1 Verona
29/11/2025,Parma 0 - 2 Udinese
