Competition,Country,Code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Source
Belgian Pro League,Belgium,B1,25/07/2025,19:45,Antwerp,St. Gilloise,1,1,D,football-data
Belgian Pro League,Belgium,B1,26/07/2025,15:00,Dender,Cercle Brugge,0,0,D,football-data
Belgian Pro League,Belgium,B1,26/07/2025,17:15,Waregem,Mechelen,1,1,D,football-data
Belgian Pro League,Belgium,B1,26/07/2025,19:45,RAAL La Louviere,Standard,0,2,A,football-data
Belgian Pro League,Belgium,B1,27/07/2025,12:30,Anderlecht,Westerlo,5,2,H,football-data
Belgian Pro League,Belgium,B1,27/07/2025,15:00,Oud-Heverlee Leuven,Charleroi,2,2,D,football-data
Belgian Pro League,Belgium,B1,27/07/2025,17:30,Club Brugge,Genk,2,1,H,football-data
Belgian Pro League,Belgium,B1,27/07/2025,18:15,St Truiden,Gent,3,1,H,football-data
Belgian Pro League,Belgium,B1,01/08/2025,19:45,Mechelen,Club Brugge,2,1,H,football-data
Belgian Pro League,Belgium,B1,02/08/2025,15:00,Westerlo,Waregem,3,1,H,football-data
Scottish Premiership,Scotland,SC0,02/08/2025,15:00,Kilmarnock,Livingston,2,2,D,football-data
Belgian Pro League,Belgium,B1,02/08/2025,17:15,Standard,Dender,1,1,D,football-data
Scottish Premiership,Scotland,SC0,02/08/2025,17:30,Motherwell,Rangers,1,1,D,football-data
Belgian Pro League,Belgium,B1,02/08/2025,19:45,Gent,RAAL La Louviere,1,0,H,football-data
Belgian Pro League,Belgium,B1,03/08/2025,12:30,Genk,Antwerp,1,1,D,football-data
Scottish Premiership,Scotland,SC0,03/08/2025,14:00,Falkirk,Dundee United,2,2,D,football-data
Belgian Pro League,Belgium,B1,03/08/2025,15:00,Cercle Brugge,Anderlecht,0,2,A,football-data
Scottish Premiership,Scotland,SC0,03/08/2025,15:00,Dundee,Hibernian,1,2,A,football-data
Scottish Premiership,Scotland,SC0,03/08/2025,16:30,Celtic,St Mirren,1,0,H,football-data
Belgian Pro League,Belgium,B1,03/08/2025,17:30,St. Gilloise,Oud-Heverlee Leuven,5,0,H,football-data
Belgian Pro League,Belgium,B1,03/08/2025,18:15,Charleroi,St Truiden,1,1,D,football-data
Scottish Premiership,Scotland,SC0,04/08/2025,20:00,Hearts,Aberdeen,2,0,H,football-data
Eredivisie,Netherlands,N1,08/08/2025,18:00,Fortuna Sittard,Go Ahead Eagles,2,2,D,fixturedownload
Eredivisie,Netherlands,N1,08/08/2025,19:00,For Sittard,Go Ahead Eagles,2,2,D,football-data
Primeira Liga,Portugal,P1,08/08/2025,19:15,Casa Pia AC,Sporting CP,0,2,A,fixturedownload
Turkish Super Lig,Turkey,T1,08/08/2025,19:30,Gaziantep,Galatasaray,0,3,A,football-data
Belgian Pro League,Belgium,B1,08/08/2025,19:45,St Truiden,Dender,2,0,H,football-data
Primeira Liga,Portugal,P1,08/08/2025,20:15,Casa Pia,Sp Lisbon,0,2,A,football-data
Eredivisie,Netherlands,N1,09/08/2025,14:30,N.E.C. Nijmegen,Excelsior Rotterdam,5,0,H,fixturedownload
Primeira Liga,Portugal,P1,09/08/2025,14:30,CD Nacional,Gil Vicente FC,0,2,A,fixturedownload
Belgian Pro League,Belgium,B1,09/08/2025,15:00,Club Brugge,Cercle Brugge,2,0,H,football-data
Scottish Premiership,Scotland,SC0,09/08/2025,15:00,Livingston,Falkirk,3,1,H,football-data
Scottish Premiership,Scotland,SC0,09/08/2025,15:00,St Mirren,Motherwell,0,0,D,football-data
Eredivisie,Netherlands,N1,09/08/2025,15:30,Nijmegen,Excelsior,5,0,H,football-data
Primeira Liga,Portugal,P1,09/08/2025,15:30,Nacional,Gil Vicente,0,2,A,football-data
Turkish Super Lig,Turkey,T1,09/08/2025,16:00,Samsunspor,Gençlerbirligi,2,1,H,fixturedownload
Turkish Super Lig,Turkey,T1,09/08/2025,17:00,Samsunspor,Genclerbirligi,2,1,H,football-data
Belgian Pro League,Belgium,B1,09/08/2025,17:15,Westerlo,Mechelen,0,1,A,football-data
Eredivisie,Netherlands,N1,09/08/2025,17:45,Feyenoord,NAC Breda,2,0,H,football-data
Scottish Premiership,Scotland,SC0,09/08/2025,17:45,Rangers,Dundee,1,1,D,football-data
Eredivisie,Netherlands,N1,09/08/2025,18:00,sc Heerenveen,FC Volendam,1,1,D,fixturedownload
Eredivisie,Netherlands,N1,09/08/2025,19:00,Heerenveen,Volendam,1,1,D,football-data
Eredivisie,Netherlands,N1,09/08/2025,19:00,PSV,Sparta Rotterdam,6,1,H,fixturedownload
Primeira Liga,Portugal,P1,09/08/2025,19:30,FC Arouca,AFS,3,1,H,fixturedownload
Turkish Super Lig,Turkey,T1,09/08/2025,19:30,Antalyaspor,Kasimpasa,2,1,H,football-data
Belgian Pro League,Belgium,B1,09/08/2025,19:45,Gent,St. Gilloise,2,3,A,football-data
Eredivisie,Netherlands,N1,09/08/2025,20:00,PSV Eindhoven,Sparta Rotterdam,6,1,H,football-data
Primeira Liga,Portugal,P1,09/08/2025,20:30,Arouca,AVS,3,1,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,10:15,PEC Zwolle,FC Twente,1,0,H,fixturedownload
Eredivisie,Netherlands,N1,10/08/2025,11:15,Zwolle,Twente,1,0,H,football-data
Belgian Pro League,Belgium,B1,10/08/2025,12:30,RAAL La Louviere,Charleroi,1,0,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,12:30,AZ,FC Groningen,4,1,H,fixturedownload
Scottish Premiership,Scotland,SC0,10/08/2025,12:30,Aberdeen,Celtic,0,2,A,football-data
Eredivisie,Netherlands,N1,10/08/2025,13:30,AZ Alkmaar,Groningen,4,1,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,13:30,Ajax,Telstar,2,0,H,football-data
Eredivisie,Netherlands,N1,10/08/2025,14:45,FC Utrecht,Heracles Almelo,4,0,H,fixturedownload
Belgian Pro League,Belgium,B1,10/08/2025,15:00,Anderlecht,Waregem,2,3,A,football-data
Scottish Premiership,Scotland,SC0,10/08/2025,15:00,Dundee United,Hearts,2,3,A,football-data
Scottish Premiership,Scotland,SC0,10/08/2025,15:00,Hibernian,Kilmarnock,2,2,D,football-data
Eredivisie,Netherlands,N1,10/08/2025,15:45,Utrecht,Heracles,4,0,H,football-data
Primeira Liga,Portugal,P1,10/08/2025,16:00,FC Famalicão,Santa Clara,3,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,10/08/2025,16:00,Çaykur Rizespor,Göztepe,0,3,A,fixturedownload
Primeira Liga,Portugal,P1,10/08/2025,17:00,Famalicao,Santa Clara,3,0,H,football-data
Turkish Super Lig,Turkey,T1,10/08/2025,17:00,Rizespor,Goztep,0,3,A,football-data
Belgian Pro League,Belgium,B1,10/08/2025,17:30,Standard,Genk,2,1,H,football-data
Belgian Pro League,Belgium,B1,10/08/2025,18:15,Antwerp,Oud-Heverlee Leuven,3,1,H,football-data
Turkish Super Lig,Turkey,T1,10/08/2025,18:30,Eyüpspor,Konyaspor,1,4,A,fixturedownload
Primeira Liga,Portugal,P1,10/08/2025,19:30,Moreirense FC,FC Alverca,2,1,H,fixturedownload
Primeira Liga,Portugal,P1,10/08/2025,19:30,SC Braga,CD Tondela,3,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,10/08/2025,19:30,Eyupspor,Konyaspor,1,4,A,football-data
Primeira Liga,Portugal,P1,10/08/2025,20:30,Moreirense,Alverca,2,1,H,football-data
Primeira Liga,Portugal,P1,10/08/2025,20:30,Sp Braga,Tondela,3,0,H,football-data
Primeira Liga,Portugal,P1,11/08/2025,17:45,Estoril Praia,Estrela Amadora,1,1,D,fixturedownload
Primeira Liga,Portugal,P1,11/08/2025,18:45,Estoril,Estrela,1,1,D,football-data
Turkish Super Lig,Turkey,T1,11/08/2025,19:30,Trabzonspor,Kocaelispor,1,0,H,football-data
Primeira Liga,Portugal,P1,11/08/2025,19:45,FC Porto,Vitória SC,3,0,H,fixturedownload
Primeira Liga,Portugal,P1,11/08/2025,20:45,Porto,Guimaraes,3,0,H,football-data
Primeira Liga,Portugal,P1,15/08/2025,14:45,AFS,Casa Pia AC,0,2,A,fixturedownload
Primeira Liga,Portugal,P1,15/08/2025,15:30,AVS,Casa Pia,0,2,A,football-data
La Liga,Spain,SP1,15/08/2025,17:00,Girona FC,Rayo Vallecano,1,3,A,fixturedownload
Eredivisie,Netherlands,N1,15/08/2025,18:00,Telstar,PEC Zwolle,0,2,A,fixturedownload
La Liga,Spain,SP1,15/08/2025,18:00,Girona,Vallecano,1,3,A,football-data
Turkish Super Lig,Turkey,T1,15/08/2025,18:30,Galatasaray,Fatih Karagümrük,3,0,H,fixturedownload
Ligue 1,France,F1,15/08/2025,18:45,Stade Rennais FC,Olympique de Marseille,1,0,H,fixturedownload
Eredivisie,Netherlands,N1,15/08/2025,19:00,Telstar,Zwolle,0,2,A,football-data
La Liga,Spain,SP1,15/08/2025,19:30,Villarreal CF,Real Oviedo,2,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,15/08/2025,19:30,Galatasaray,Karagumruk,3,0,H,football-data
Belgian Pro League,Belgium,B1,15/08/2025,19:45,Oud-Heverlee Leuven,Genk,1,2,A,football-data
Ligue 1,France,F1,15/08/2025,19:45,Rennes,Marseille,1,0,H,football-data
Premier League,England,E0,15/08/2025,20:00,Liverpool,Bournemouth,4,2,H,football-data
La Liga,Spain,SP1,15/08/2025,20:30,Villarreal,Oviedo,2,0,H,football-data
Premier League,England,E0,16/08/2025,12:30,Aston Villa,Newcastle,0,0,D,football-data
Primeira Liga,Portugal,P1,16/08/2025,14:30,CD Tondela,FC Famalicão,0,1,A,fixturedownload
Belgian Pro League,Belgium,B1,16/08/2025,15:00,Waregem,Club Brugge,0,1,A,football-data
Ligue 1,France,F1,16/08/2025,15:00,RC Lens,Olympique Lyonnais,0,1,A,fixturedownload
Premier League,England,E0,16/08/2025,15:00,Brighton,Fulham,1,1,D,football-data
Premier League,England,E0,16/08/2025,15:00,Sunderland,West Ham,3,0,H,football-data
Premier League,England,E0,16/08/2025,15:00,Tottenham,Burnley,3,0,H,football-data
Primeira Liga,Portugal,P1,16/08/2025,15:30,Tondela,Famalicao,0,1,A,football-data
Ligue 1,France,F1,16/08/2025,16:00,Lens,Lyon,0,1,A,football-data
Eredivisie,Netherlands,N1,16/08/2025,16:45,Excelsior Rotterdam,Feyenoord,1,2,A,fixturedownload
Ligue 1,France,F1,16/08/2025,17:00,AS Monaco,Havre Athletic Club,3,1,H,fixturedownload
Primeira Liga,Portugal,P1,16/08/2025,17:00,Vitória SC,Estoril Praia,3,2,H,fixturedownload
Turkish Super Lig,Turkey,T1,16/08/2025,17:00,Kocaelispor,Samsunspor,0,1,A,football-data
Belgian Pro League,Belgium,B1,16/08/2025,17:15,Mechelen,Gent,1,1,D,football-data
La Liga,Spain,SP1,16/08/2025,17:30,RCD Mallorca,FC Barcelona,0,3,A,fixturedownload
Premier League,England,E0,16/08/2025,17:30,Wolves,Man City,0,4,A,football-data
Eredivisie,Netherlands,N1,16/08/2025,17:45,Excelsior,Feyenoord,1,2,A,football-data
Eredivisie,Netherlands,N1,16/08/2025,18:00,Heracles Almelo,N.E.C. Nijmegen,1,4,A,fixturedownload
Ligue 1,France,F1,16/08/2025,18:00,Monaco,Le Havre,3,1,H,football-data
Primeira Liga,Portugal,P1,16/08/2025,18:00,Guimaraes,Estoril,3,2,H,football-data
La Liga,Spain,SP1,16/08/2025,18:30,Mallorca,Barcelona,0,3,A,football-data
Turkish Super Lig,Turkey,T1,16/08/2025,18:30,Alanyaspor,Çaykur Rizespor,0,0,D,fixturedownload
Turkish Super Lig,Turkey,T1,16/08/2025,18:30,Göztepe,Fenerbahçe,0,0,D,fixturedownload
Eredivisie,Netherlands,N1,16/08/2025,19:00,FC Groningen,sc Heerenveen,2,1,H,fixturedownload
Eredivisie,Netherlands,N1,16/08/2025,19:00,Heracles,Nijmegen,1,4,A,football-data
Ligue 1,France,F1,16/08/2025,19:05,OGC Nice,Toulouse FC,0,1,A,fixturedownload
La Liga,Spain,SP1,16/08/2025,19:30,Deportivo Alavés,Levante UD,2,1,H,fixturedownload
La Liga,Spain,SP1,16/08/2025,19:30,Valencia CF,Real Sociedad,1,1,D,fixturedownload
Primeira Liga,Portugal,P1,16/08/2025,19:30,Estrela Amadora,SL Benfica,0,1,A,fixturedownload
Turkish Super Lig,Turkey,T1,16/08/2025,19:30,Alanyaspor,Rizespor,0,0,D,football-data
Turkish Super Lig,Turkey,T1,16/08/2025,19:30,Goztep,Fenerbahce,0,0,D,football-data
Belgian Pro League,Belgium,B1,16/08/2025,19:45,St. Gilloise,Standard,3,0,H,football-data
Eredivisie,Netherlands,N1,16/08/2025,20:00,Groningen,Heerenveen,2,1,H,football-data
Ligue 1,France,F1,16/08/2025,20:05,Nice,Toulouse,0,1,A,football-data
La Liga,Spain,SP1,16/08/2025,20:30,Alaves,Levante,2,1,H,football-data
La Liga,Spain,SP1,16/08/2025,20:30,Valencia,Sociedad,1,1,D,football-data
Primeira Liga,Portugal,P1,16/08/2025,20:30,Estrela,Benfica,0,1,A,football-data
Eredivisie,Netherlands,N1,17/08/2025,11:15,Go Ahead Eagles,Ajax,2,2,D,football-data
Belgian Pro League,Belgium,B1,17/08/2025,12:30,Dender,Anderlecht,0,2,A,football-data
Eredivisie,Netherlands,N1,17/08/2025,12:30,FC Twente,PSV,0,2,A,fixturedownload
Eredivisie,Netherlands,N1,17/08/2025,12:30,Sparta Rotterdam,FC Utrecht,2,1,H,fixturedownload
Ligue 1,France,F1,17/08/2025,13:00,Stade Brestois 29,LOSC Lille,3,3,D,fixturedownload
Eredivisie,Netherlands,N1,17/08/2025,13:30,Sparta Rotterdam,Utrecht,2,1,H,football-data
Eredivisie,Netherlands,N1,17/08/2025,13:30,Twente,PSV Eindhoven,0,2,A,football-data
Ligue 1,France,F1,17/08/2025,14:00,Brest,Lille,3,3,D,football-data
Premier League,England,E0,17/08/2025,14:00,Chelsea,Crystal Palace,0,0,D,football-data
Premier League,England,E0,17/08/2025,14:00,Nott'm Forest,Brentford,3,1,H,football-data
Primeira Liga,Portugal,P1,17/08/2025,14:30,Rio Ave FC,CD Nacional,1,1,D,fixturedownload
Eredivisie,Netherlands,N1,17/08/2025,14:45,FC Volendam,AZ,2,2,D,fixturedownload
Belgian Pro League,Belgium,B1,17/08/2025,15:00,St Truiden,RAAL La Louviere,2,1,H,football-data
La Liga,Spain,SP1,17/08/2025,15:00,Celta,Getafe CF,0,2,A,fixturedownload
Ligue 1,France,F1,17/08/2025,15:15,AJ Auxerre,FC Lorient,1,0,H,fixturedownload
Ligue 1,France,F1,17/08/2025,15:15,Angers SCO,Paris FC,1,0,H,fixturedownload
Ligue 1,France,F1,17/08/2025,15:15,FC Metz,RC Strasbourg Alsace,0,1,A,fixturedownload
Primeira Liga,Portugal,P1,17/08/2025,15:30,Rio Ave,Nacional,1,1,D,football-data
Eredivisie,Netherlands,N1,17/08/2025,15:45,Volendam,AZ Alkmaar,2,2,D,football-data
La Liga,Spain,SP1,17/08/2025,16:00,Celta,Getafe,0,2,A,football-data
Turkish Super Lig,Turkey,T1,17/08/2025,16:00,Gençlerbirligi,Antalyaspor,0,1,A,fixturedownload
Ligue 1,France,F1,17/08/2025,16:15,Angers,Paris FC,1,0,H,football-data
Ligue 1,France,F1,17/08/2025,16:15,Auxerre,Lorient,1,0,H,football-data
Ligue 1,France,F1,17/08/2025,16:15,Metz,Strasbourg,0,1,A,football-data
Premier League,England,E0,17/08/2025,16:30,Man United,Arsenal,0,1,A,football-data
Primeira Liga,Portugal,P1,17/08/2025,17:00,FC Alverca,SC Braga,0,3,A,fixturedownload
Primeira Liga,Portugal,P1,17/08/2025,17:00,Santa Clara,Moreirense FC,0,1,A,fixturedownload
Turkish Super Lig,Turkey,T1,17/08/2025,17:00,Genclerbirligi,Antalyaspor,0,1,A,football-data
Turkish Super Lig,Turkey,T1,17/08/2025,17:00,Konyaspor,Gaziantep,3,0,H,football-data
Belgian Pro League,Belgium,B1,17/08/2025,17:30,Charleroi,Antwerp,1,1,D,football-data
La Liga,Spain,SP1,17/08/2025,17:30,Athletic Club,Sevilla FC,3,2,H,fixturedownload
Eredivisie,Netherlands,N1,17/08/2025,18:00,NAC Breda,Fortuna Sittard,2,1,H,fixturedownload
Primeira Liga,Portugal,P1,17/08/2025,18:00,Alverca,Sp Braga,0,3,A,football-data
Primeira Liga,Portugal,P1,17/08/2025,18:00,Santa Clara,Moreirense,0,1,A,football-data
Belgian Pro League,Belgium,B1,17/08/2025,18:15,Cercle Brugge,Westerlo,4,1,H,football-data
La Liga,Spain,SP1,17/08/2025,18:30,Ath Bilbao,Sevilla,3,2,H,football-data
Turkish Super Lig,Turkey,T1,17/08/2025,18:30,Besiktas,Eyüpspor,2,1,H,fixturedownload
Turkish Super Lig,Turkey,T1,17/08/2025,18:30,Istanbul Basaksehir,Kayserispor,1,1,D,fixturedownload
Eredivisie,Netherlands,N1,17/08/2025,19:00,NAC Breda,For Sittard,2,1,H,football-data
La Liga,Spain,SP1,17/08/2025,19:30,RCD Espanyol de Barcelona,Atlético de Madrid,2,1,H,fixturedownload
Primeira Liga,Portugal,P1,17/08/2025,19:30,Sporting CP,FC Arouca,6,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,17/08/2025,19:30,Besiktas,Eyupspor,2,1,H,football-data
Turkish Super Lig,Turkey,T1,17/08/2025,19:30,Buyuksehyr,Kayserispor,1,1,D,football-data
Ligue 1,France,F1,17/08/2025,19:45,Nantes,Paris SG,0,1,A,football-data
La Liga,Spain,SP1,17/08/2025,20:30,Espanol,Ath Madrid,2,1,H,football-data
Primeira Liga,Portugal,P1,17/08/2025,20:30,Sp Lisbon,Arouca,6,0,H,football-data
Ligue 1,France,F1,17/08/2025,20:45,FC Nantes,Paris Saint-Germain,0,1,A,fixturedownload
La Liga,Spain,SP1,18/08/2025,19:00,Elche CF,Real Betis,1,1,D,fixturedownload
Primeira Liga,Portugal,P1,18/08/2025,19:15,Gil Vicente FC,FC Porto,0,2,A,fixturedownload
Turkish Super Lig,Turkey,T1,18/08/2025,19:30,Kasimpasa,Trabzonspor,0,1,A,football-data
La Liga,Spain,SP1,18/08/2025,20:00,Elche,Betis,1,1,D,football-data
Premier League,England,E0,18/08/2025,20:00,Leeds,Everton,1,0,H,football-data
Primeira Liga,Portugal,P1,18/08/2025,20:15,Gil Vicente,Porto,0,2,A,football-data
La Liga,Spain,SP1,19/08/2025,19:00,Real Madrid,CA Osasuna,1,0,H,fixturedownload
La Liga,Spain,SP1,19/08/2025,20:00,Real Madrid,Osasuna,1,0,H,football-data
Turkish Super Lig,Turkey,T1,22/08/2025,17:00,Konyaspor,Besiktas,,,,fixturedownload
Turkish Super Lig,Turkey,T1,22/08/2025,17:00,Çaykur Rizespor,Istanbul Basaksehir,,,,fixturedownload
Bundesliga,Germany,D1,22/08/2025,18:30,FC Bayern München,RB Leipzig,6,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,22/08/2025,18:30,Fatih Karagümrük,Göztepe,0,2,A,fixturedownload
Ligue 1,France,F1,22/08/2025,18:45,Paris Saint-Germain,Angers SCO,1,0,H,fixturedownload
Bundesliga,Germany,D1,22/08/2025,19:30,Bayern Munich,RB Leipzig,6,0,H,football-data
La Liga,Spain,SP1,22/08/2025,19:30,Real Betis,Deportivo Alavés,1,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,22/08/2025,19:30,Karagumruk,Goztep,0,2,A,football-data
Ligue 1,France,F1,22/08/2025,19:45,Paris SG,Angers,1,0,H,football-data
Premier League,England,E0,22/08/2025,20:00,West Ham,Chelsea,1,5,A,football-data
La Liga,Spain,SP1,22/08/2025,20:30,Betis,Alaves,1,0,H,football-data
Premier League,England,E0,23/08/2025,12:30,Man City,Tottenham,0,2,A,football-data
Bundesliga,Germany,D1,23/08/2025,13:30,1. FC Heidenheim 1846,VfL Wolfsburg,1,3,A,fixturedownload
Bundesliga,Germany,D1,23/08/2025,13:30,1. FC Union Berlin,VfB Stuttgart,2,1,H,fixturedownload
Bundesliga,Germany,D1,23/08/2025,13:30,Bayer 04 Leverkusen,TSG Hoffenheim,1,2,A,fixturedownload
Bundesliga,Germany,D1,23/08/2025,13:30,Eintracht Frankfurt,SV Werder Bremen,4,1,H,fixturedownload
Bundesliga,Germany,D1,23/08/2025,13:30,Sport-Club Freiburg,FC Augsburg,1,3,A,fixturedownload
Bundesliga,Germany,D1,23/08/2025,14:30,Ein Frankfurt,Werder Bremen,4,1,H,football-data
Bundesliga,Germany,D1,23/08/2025,14:30,Freiburg,Augsburg,1,3,A,football-data
Bundesliga,Germany,D1,23/08/2025,14:30,Heidenheim,Wolfsburg,1,3,A,football-data
Bundesliga,Germany,D1,23/08/2025,14:30,Leverkusen,Hoffenheim,1,2,A,football-data
Bundesliga,Germany,D1,23/08/2025,14:30,Union Berlin,Stuttgart,2,1,H,football-data
La Liga,Spain,SP1,23/08/2025,15:00,RCD Mallorca,Celta,1,1,D,fixturedownload
Ligue 1,France,F1,23/08/2025,15:00,Olympique de Marseille,Paris FC,5,2,H,fixturedownload
Premier League,England,E0,23/08/2025,15:00,Bournemouth,Wolves,1,0,H,football-data
Premier League,England,E0,23/08/2025,15:00,Brentford,Aston Villa,1,0,H,football-data
Premier League,England,E0,23/08/2025,15:00,Burnley,Sunderland,2,0,H,football-data
Primeira Liga,Portugal,P1,23/08/2025,15:00,Moreirense FC,Vitória SC,2,0,H,fixturedownload
Scottish Premiership,Scotland,SC0,23/08/2025,15:00,Celtic,Livingston,3,0,H,football-data
Scottish Premiership,Scotland,SC0,23/08/2025,15:00,Hearts,Motherwell,3,3,D,football-data
Scottish Premiership,Scotland,SC0,23/08/2025,15:00,Kilmarnock,Dundee,0,0,D,football-data
Eredivisie,Netherlands,N1,23/08/2025,15:30,Go Ahead Eagles,Sparta Rotterdam,0,3,A,football-data
La Liga,Spain,SP1,23/08/2025,16:00,Mallorca,Celta,1,1,D,football-data
Ligue 1,France,F1,23/08/2025,16:00,Marseille,Paris FC,5,2,H,football-data
Primeira Liga,Portugal,P1,23/08/2025,16:00,Moreirense,Guimaraes,2,0,H,football-data
Bundesliga,Germany,D1,23/08/2025,16:30,FC St. Pauli,Borussia Dortmund,3,3,D,fixturedownload
Eredivisie,Netherlands,N1,23/08/2025,16:45,PSV,FC Groningen,4,2,H,fixturedownload
Ligue 1,France,F1,23/08/2025,17:00,OGC Nice,AJ Auxerre,3,1,H,fixturedownload
Primeira Liga,Portugal,P1,23/08/2025,17:00,CD Nacional,Sporting CP,1,4,A,fixturedownload
Belgian Pro League,Belgium,B1,23/08/2025,17:15,Standard,Cercle Brugge,0,3,A,football-data
Bundesliga,Germany,D1,23/08/2025,17:30,St Pauli,Dortmund,3,3,D,football-data
La Liga,Spain,SP1,23/08/2025,17:30,Atlético de Madrid,Elche CF,1,1,D,fixturedownload
Premier League,England,E0,23/08/2025,17:30,Arsenal,Leeds,5,0,H,football-data
Serie A,Italy,I1,23/08/2025,17:30,Genoa,Lecce,0,0,D,football-data
Serie A,Italy,I1,23/08/2025,17:30,Sassuolo,Napoli,0,2,A,football-data
Eredivisie,Netherlands,N1,23/08/2025,17:45,PSV Eindhoven,Groningen,4,2,H,football-data
Ligue 1,France,F1,23/08/2025,18:00,Nice,Auxerre,3,1,H,football-data
Primeira Liga,Portugal,P1,23/08/2025,18:00,Nacional,Sp Lisbon,1,4,A,football-data
La Liga,Spain,SP1,23/08/2025,18:30,Ath Madrid,Elche,1,1,D,football-data
Turkish Super Lig,Turkey,T1,23/08/2025,18:30,Fenerbahçe,Kocaelispor,3,1,H,fixturedownload
Turkish Super Lig,Turkey,T1,23/08/2025,18:30,Gaziantep,Gençlerbirligi,2,1,H,fixturedownload
Eredivisie,Netherlands,N1,23/08/2025,19:00,Telstar,FC Volendam,2,2,D,fixturedownload
Ligue 1,France,F1,23/08/2025,19:05,Olympique Lyonnais,FC Metz,3,0,H,fixturedownload
La Liga,Spain,SP1,23/08/2025,19:30,Levante UD,FC Barcelona,2,3,A,fixturedownload
Primeira Liga,Portugal,P1,23/08/2025,19:30,FC Arouca,Rio Ave FC,3,3,D,fixturedownload
Primeira Liga,Portugal,P1,23/08/2025,19:30,SL Benfica,CD Tondela,3,0,H,fixturedownload
Turkish Super Lig,Turkey,T1,23/08/2025,19:30,Fenerbahce,Kocaelispor,3,1,H,football-data
Turkish Super Lig,Turkey,T1,23/08/2025,19:30,Gaziantep,Genclerbirligi,2,1,H,football-data
Belgian Pro League,Belgium,B1,23/08/2025,19:45,Waregem,St Truiden,0,2,A,football-data
Serie A,Italy,I1,23/08/2025,19:45,Milan,Cremonese,1,2,A,football-data
Serie A,Italy,I1,23/08/2025,19:45,Roma,Bologna,1,0,H,football-data
Eredivisie,Netherlands,N1,23/08/2025,20:00,Telstar,Volendam,2,2,D,football-data
Ligue 1,France,F1,23/08/2025,20:05,Lyon,Metz,3,0,H,football-data
La Liga,Spain,SP1,23/08/2025,20:30,Levante,Barcelona,2,3,A,football-data
Primeira Liga,Portugal,P1,23/08/2025,20:30,Arouca,Rio Ave,3,3,D,football-data
Primeira Liga,Portugal,P1,23/08/2025,20:30,Benfica,Tondela,3,0,H,football-data
Eredivisie,Netherlands,N1,24/08/2025,10:15,sc Heerenveen,FC Twente,1,2,A,fixturedownload
Eredivisie,Netherlands,N1,24/08/2025,11:15,Heerenveen,Twente,1,2,A,football-data
Scottish Premiership,Scotland,SC0,24/08/2025,12:00,St Mirren,Rangers,1,1,D,football-data
Belgian Pro League,Belgium,B1,24/08/2025,12:30,Antwerp,Mechelen,2,1,H,football-data
Eredivisie,Netherlands,N1,24/08/2025,12:30,FC Utrecht,Excelsior Rotterdam,4,1,H,fixturedownload
Eredivisie,Netherlands,N1,24/08/2025,12:30,N.E.C. Nijmegen,NAC Breda,3,0,H,fixturedownload
Ligue 1,France,F1,24/08/2025,13:00,FC Lorient,Stade Rennais FC,4,0,H,fixturedownload
Bundesliga,Germany,D1,24/08/2025,13:30,1. FSV Mainz 05,1. FC Köln,0,1,A,fixturedownload
Eredivisie,Netherlands,N1,24/08/2025,13:30,Nijmegen,NAC Breda,3,0,H,football-data
Eredivisie,Netherlands,N1,24/08/2025,13:30,Utrecht,Excelsior,4,1,H,football-data
Ligue 1,France,F1,24/08/2025,14:00,Lorient,Rennes,4,0,H,football-data
Premier League,England,E0,24/08/2025,14:00,Crystal Palace,Nott'm Forest,1,1,D,football-data
Premier League,England,E0,24/08/2025,14:00,Everton,Brighton,2,0,H,football-data
Bundesliga,Germany,D1,24/08/2025,14:30,Mainz,FC Koln,0,1,A,football-data
Primeira Liga,Portugal,P1,24/08/2025,14:30,FC Famalicão,Gil Vicente FC,0,0,D,fixturedownload
Eredivisie,Netherlands,N1,24/08/2025,14:45,Ajax,Heracles Almelo,2,0,H,fixturedownload
La Liga,Spain,SP1,24/08/2025,15:00,CA Osasuna,Valencia CF,1,0,H,fixturedownload
Ligue 1,France,F1,24/08/2025,15:15,Havre Athletic Club,RC Lens,1,2,A,fixturedownload
Ligue 1,France,F1,24/08/2025,15:15,RC Strasbourg Alsace,FC Nantes,1,0,H,fixturedownload
Ligue 1,France,F1,24/08/2025,15:15,Toulouse FC,Stade Brestois 29,2,0,H,fixturedownload
Bundesliga,Germany,D1,24/08/2025,15:30,Borussia Mönchengladbach,Hamburger SV,0,0,D,fixturedownload
Primeira Liga,Portugal,P1,24/08/2025,15:30,Famalicao,Gil Vicente,0,0,D,football-data
Eredivisie,Netherlands,N1,24/08/2025,15:45,Ajax,Heracles,2,0,H,football-data
La Liga,Spain,SP1,24/08/2025,16:00,Osasuna,Valencia,1,0,H,football-data
