Date,Result
13/12/2025,Groningen 3 - 0 Volendam
13/12/2025,SC Telstar 2 - 2 Nijmegen
07/12/2025,Sparta Rotterdam 1 - 0 NAC Breda
07/12/2025,Volendam 2 - 3 Nijmegen
07/12/2025,AZ Alkmaar 2 - 2 Go Ahead Eagles
07/12/2025,Utrecht 1 - 1 Twente
06/12/2025,Feyenoord 6 - 1 PEC Zwolle
06/12/2025,Heracles 1 - 1 SC Telstar
06/12/2025,Fortuna Sittard 1 - 3 Ajax
06/12/2025,Heerenveen 0 - 2 PSV Eindhoven
05/12/2025,Excelsior 0 - 2 Groningen
02/12/2025,Ajax 2 - 0 Groningen
30/11/2025,Twente 1 - 0 AZ Alkmaar
30/11/2025,Go Ahead Eagles 2 - 2 Utrecht
30/11/2025,SC Telstar 1 - 2 Feyenoord
30/11/2025,PSV Eindhoven 3 - 0 Volendam
29/11/2025,Nijmegen 3 - 1 Sparta Rotterdam
29/11/2025,Fortuna Sittard 1 - 1 Heracles
29/11/2025,Excelsior 1 - 0 NAC Breda
28/11/2025,PEC Zwolle 2 - 1 Heerenveen
23/11/2025,Groningen 2 - 2 PEC Zwolle
23/11/2025,SC Telstar 1 - 1 Utrecht
23/11/2025,Feyenoord 2 - 4 Nijmegen
23/11/2025,Heerenveen 3 - 1 AZ Alkmaar
22/11/2025,Heracles 4 - 2 Go Ahead Eagles
22/11/2025,Sparta Rotterdam 1 - 1 Fortuna Sittard
22/11/2025,Volendam 1 - 1 Twente
22/11/2025,Ajax 1 - 2 Excelsior
22/11/2025,NAC Breda 0 - 1 PSV Eindhoven
09/11/2025,Go Ahead Eagles 2 - 1 Feyenoord
09/11/2025,AZ Alkmaar 1 - 5 PSV Eindhoven
09/11/2025,Nijmegen 2 - 0 Groningen
09/11/2025,Utrecht 2 - 1 Ajax
08/11/2025,PEC Zwolle 1 - 0 Sparta Rotterdam
08/11/2025,Fortuna Sittard 2 - 0 Heerenveen
08/11/2025,Volendam 2 - 1 NAC Breda
08/11/2025,Excelsior 1 - 2 Heracles
07/11/2025,Twente 0 - 0 SC Telstar
02/11/2025,Utrecht 1 - 0 Nijmegen
02/11/2025,Groningen 1 - 1 Twente
02/11/2025,Sparta Rotterdam 0 - 1 AZ Alkmaar
02/11/2025,Heracles 8 - 2 PEC Zwolle
01/11/2025,SC Telstar 2 - 2 Excelsior
01/11/2025,Feyenoord 3 - 1 Volendam
01/11/2025,NAC Breda 1 - 0 Go Ahead Eagles
01/11/2025,Ajax 1 - 1 Heerenveen
31/10/2025,PSV Eindhoven 5 - 2 Fortuna Sittard
26/10/2025,Go Ahead Eagles 2 - 0 Excelsior
26/10/2025,AZ Alkmaar 4 - 1 Utrecht
26/10/2025,Feyenoord 2 - 3 PSV Eindhoven
26/10/2025,Twente 2 - 3 Ajax
25/10/2025,PEC Zwolle 2 - 2 Nijmegen
25/10/2025,Volendam 3 - 0 Heracles
25/10/2025,Sparta Rotterdam 1 - 0 SC Telstar
25/10/2025,Fortuna Sittard 1 - 2 Groningen
24/10/2025,Heerenveen 3 - 3 NAC Breda
19/10/2025,Heracles 0 - 7 Feyenoord
19/10/2025,Excelsior 1 - 0 Fortuna Sittard
19/10/2025,Groningen 0 - 2 Sparta Rotterdam
19/10/2025,SC Telstar 2 - 3 Heerenveen
18/10/2025,NAC Breda 2 - 2 PEC Zwolle
18/10/2025,Ajax 0 - 2 AZ Alkmaar
18/10/2025,PSV Eindhoven 2 - 1 Go Ahead Eagles
18/10/2025,Utrecht 3 - 1 Volendam
18/10/2025,Nijmegen 3 - 3 Twente
05/10/2025,Go Ahead Eagles 1 - 1 Nijmegen
05/10/2025,AZ Alkmaar 2 - 1 SC Telstar
05/10/2025,Feyenoord 3 - 2 Utrecht
05/10/2025,Twente 2 - 1 Heracles
04/10/2025,Heerenveen 2 - 1 Excelsior
04/10/2025,PEC Zwolle 0 - 4 PSV Eindhoven
04/10/2025,Fortuna Sittard 1 - 0 Volendam
04/10/2025,Sparta Rotterdam 3 - 3 Ajax
03/10/2025,NAC Breda 1 - 2 Groningen
28/09/2025,SC Telstar 4 - 2 Go Ahead Eagles
28/09/2025,Utrecht 2 - 2 Heerenveen
28/09/2025,Groningen 0 - 1 Feyenoord
28/09/2025,Nijmegen 2 - 1 AZ Alkmaar
27/09/2025,Heracles 3 - 0 Sparta Rotterdam
27/09/2025,Excelsior 1 - 2 PSV Eindhoven
