Date,Result
07/12/2025,Genclerbirligi 3 - 0 Fatih Karagümrük
06/12/2025,Basaksehir 1 - 1 Fenerbahçe
06/12/2025,Konyaspor 1 - 1 Rizespor
06/12/2025,Eyüpspor 1 - 1 Kayserispor
05/12/2025,Galatasaray 3 - 2 Samsunspor
01/12/2025,Fenerbahçe 1 - 1 Galatasaray
01/12/2025,Samsunspor 1 - 1 Alanyaspor
30/11/2025,Fatih Karagümrük 0 - 2 Besiktas
30/11/2025,Antalyaspor 1 - 2 Göztepe Izmir
29/11/2025,Trabzonspor 3 - 1 Konyaspor
29/11/2025,Kasımpasa SK 1 - 3 Basaksehir
29/11/2025,Gaziantep 1 - 2 Eyüpspor
29/11/2025,Rizespor 0 - 1 Kayserispor
28/11/2025,Kocaelispor 1 - 0 Genclerbirligi
24/11/2025,Basaksehir 3 - 4 Trabzonspor
24/11/2025,Konyaspor 0 - 0 Antalyaspor
23/11/2025,Rizespor 2 - 5 Fenerbahçe
23/11/2025,Alanyaspor 1 - 2 Kasımpasa SK
23/11/2025,Besiktas 1 - 1 Samsunspor
23/11/2025,Göztepe Izmir 0 - 0 Kocaelispor
22/11/2025,Galatasaray 3 - 2 Genclerbirligi
22/11/2025,Eyüpspor 1 - 1 Fatih Karagümrük
22/11/2025,Kayserispor 0 - 3 Gaziantep
09/11/2025,Samsunspor 1 - 0 Eyüpspor
09/11/2025,Fenerbahçe 4 - 2 Kayserispor
09/11/2025,Kocaelispor 1 - 0 Galatasaray
09/11/2025,Fatih Karagümrük 2 - 0 Konyaspor
08/11/2025,Antalyaspor 1 - 3 Besiktas
08/11/2025,Kasımpasa SK 0 - 2 Göztepe Izmir
08/11/2025,Trabzonspor 1 - 1 Alanyaspor
08/11/2025,Gaziantep 2 - 2 Rizespor
07/11/2025,Genclerbirligi 2 - 1 Basaksehir
03/11/2025,Alanyaspor 0 - 0 Gaziantep
03/11/2025,Eyüpspor 0 - 1 Antalyaspor
03/11/2025,Rizespor 1 - 0 Fatih Karagümrük
02/11/2025,Besiktas 2 - 3 Fenerbahçe
02/11/2025,Kayserispor 3 - 2 Kasımpasa SK
02/11/2025,Konyaspor 1 - 3 Samsunspor
01/11/2025,Galatasaray 0 - 0 Trabzonspor
01/11/2025,Göztepe Izmir 1 - 0 Genclerbirligi
31/10/2025,Basaksehir 1 - 0 Kocaelispor
27/10/2025,Gaziantep 0 - 4 Fenerbahçe
27/10/2025,Samsunspor 1 - 1 Rizespor
26/10/2025,Kasımpasa SK 1 - 1 Besiktas
26/10/2025,Galatasaray 3 - 1 Göztepe Izmir
26/10/2025,Genclerbirligi 1 - 2 Konyaspor
26/10/2025,Antalyaspor 0 - 4 Basaksehir
25/10/2025,Trabzonspor 2 - 0 Eyüpspor
25/10/2025,Kocaelispor 2 - 0 Alanyaspor
