Date,Result
16/01/2026,Al Najma (KSA) 1 - 1 Al Fateh (KSA)
14/01/2026,Al Ahli 2 - 1 Taawoun
14/01/2026,Shabab Riyadh 3 - 2 Neom SC
14/01/2026,Qadisiya Khubar 5 - 0 Al Feiha
13/01/2026,Al Fateh (KSA) 3 - 1 Al Riyadh SC
13/01/2026,Damak 1 - 1 Ittihad Jeddah
13/01/2026,Al Akhdood 1 - 0 Al Kholood Club
12/01/2026,Ettifaq FC 1 - 2 Al Khaleej Club
12/01/2026,Al Hilal 3 - 1 Al Nassr
12/01/2026,Al Hazm 3 - 2 Al Najma (KSA)
10/01/2026,Al Akhdood 0 - 1 Al Ahli
10/01/2026,Al Riyadh SC 1 - 1 Al Feiha
10/01/2026,Neom SC 0 - 1 Al Fateh (KSA)
09/01/2026,Al Kholood Club 0 - 4 Ittihad Jeddah
09/01/2026,Taawoun 2 - 0 Shabab Riyadh
09/01/2026,Al Khaleej Club 4 - 0 Damak
08/01/2026,Al Nassr 1 - 2 Qadisiya Khubar
08/01/2026,Al Najma (KSA) 3 - 4 Ettifaq FC
08/01/2026,Al Hilal 3 - 0 Al Hazm
04/01/2026,Qadisiya Khubar 4 - 0 Al Riyadh SC
04/01/2026,Damak 0 - 2 Al Hilal
04/01/2026,Al Hazm 1 - 2 Neom SC
03/01/2026,Ittihad Jeddah 1 - 0 Taawoun
03/01/2026,Al Feiha 0 - 5 Al Kholood Club
03/01/2026,Al Fateh (KSA) 2 - 0 Shabab Riyadh
02/01/2026,Al Ahli 3 - 2 Al Nassr
02/01/2026,Ettifaq FC 2 - 0 Al Akhdood
02/01/2026,Al Najma (KSA) 2 - 2 Al Khaleej Club
31/12/2025,Shabab Riyadh 2 - 3 Qadisiya Khubar
31/12/2025,Al Kholood Club 1 - 3 Al Hilal
31/12/2025,Neom SC 1 - 3 Ittihad Jeddah
30/12/2025,Ettifaq FC 2 - 2 Al Nassr
30/12/2025,Al Akhdood 0 - 1 Damak
30/12/2025,Al Ahli 2 - 0 Al Feiha
29/12/2025,Taawoun 1 - 0 Al Najma (KSA)
29/12/2025,Al Riyadh SC 1 - 2 Al Hazm
29/12/2025,Al Khaleej Club 0 - 1 Al Fateh (KSA)
27/12/2025,Ittihad Jeddah 2 - 0 Shabab Riyadh
27/12/2025,Al Nassr 3 - 0 Al Akhdood
27/12/2025,Qadisiya Khubar 1 - 1 Damak
26/12/2025,Al Hilal 3 - 2 Al Khaleej Club
26/12/2025,Al Kholood Club 0 - 2 Taawoun
26/12/2025,Al Fateh (KSA) 2 - 1 Al Ahli
25/12/2025,Al Riyadh SC 0 - 2 Ettifaq FC
25/12/2025,Neom SC 2 - 1 Al Najma (KSA)
25/12/2025,Al Feiha 0 - 0 Al Hazm
23/11/2025,Taawoun 1 - 1 Neom SC
23/11/2025,Al Nassr 4 - 1 Al Khaleej Club
23/11/2025,Al Akhdood 1 - 1 Shabab Riyadh
22/11/2025,Al Hilal 2 - 1 Al Fateh (KSA)
22/11/2025,Ettifaq FC 3 - 2 Al Feiha
22/11/2025,Damak 0 - 0 Al Najma (KSA)
21/11/2025,Al Ahli 2 - 1 Qadisiya Khubar
21/11/2025,Ittihad Jeddah 2 - 1 Al Riyadh SC
21/11/2025,Al Kholood Club 1 - 2 Al Hazm
08/11/2025,Ittihad Jeddah 0 - 1 Al Ahli
08/11/2025,Shabab Riyadh 1 - 1 Ettifaq FC
08/11/2025,Neom SC 1 - 3 Al Nassr
07/11/2025,Al Najma (KSA) 2 - 4 Al Hilal
07/11/2025,Al Fateh (KSA) 2 - 5 Taawoun
07/11/2025,Al Feiha 2 - 0 Al Akhdood
06/11/2025,Al Riyadh SC 1 - 1 Damak
06/11/2025,Qadisiya Khubar 4 - 0 Al Kholood Club
06/11/2025,Al Hazm 1 - 4 Al Khaleej Club
01/11/2025,Al Nassr 2 - 1 Al Feiha
01/11/2025,Al Khaleej Club 4 - 4 Ittihad Jeddah
01/11/2025,Taawoun 2 - 0 Qadisiya Khubar
31/10/2025,Ettifaq FC 2 - 2 Al Hazm
31/10/2025,Al Hilal 1 - 0 Shabab Riyadh
31/10/2025,Al Akhdood 2 - 1 Al Najma (KSA)
30/10/2025,Al Ahli 1 - 1 Al Riyadh SC
30/10/2025,Al Kholood Club 2 - 3 Neom SC
30/10/2025,Damak 1 - 1 Al Fateh (KSA)
25/10/2025,Al Hazm 0 - 2 Al Nassr
25/10/2025,Shabab Riyadh 1 - 1 Damak
25/10/2025,Qadisiya Khubar 0 - 0 Al Akhdood
24/10/2025,Ittihad Jeddah 0 - 2 Al Hilal
24/10/2025,Neom SC 1 - 1 Al Khaleej Club
24/10/2025,Al Fateh (KSA) 2 - 1 Ettifaq FC
23/10/2025,Al Najma (KSA) 0 - 1 Al Ahli
23/10/2025,Al Feiha 1 - 2 Taawoun
23/10/2025,Al Riyadh SC 1 - 0 Al Kholood Club
19/10/2025,Neom SC 1 - 3 Qadisiya Khubar
19/10/2025,Taawoun 6 - 1 Damak
19/10/2025,Al Khaleej Club 4 - 1 Al Riyadh SC
18/10/2025,Al Nassr 5 - 1 Al Fateh (KSA)
18/10/2025,Al Akhdood 1 - 2 Al Hazm
18/10/2025,Ettifaq FC 0 - 5 Al Hilal
17/10/2025,Al Ahli 1 - 1 Shabab Riyadh
17/10/2025,Al Kholood Club 5 - 1 Al Najma (KSA)
